"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs3091315-<b>A</b>,"8 x 10-25",(EA),0.73,1.1525311,'-,[1.13-1.18],"CCL7, CCL2","Crohn's disease","Crohn's disease",GCST003044,17:34266646
rs2823286-<b>G</b>,"1 x 10-24",(EA),0.71,1.1480856,'-,[1.12-1.17],AJ009632.2,"Crohn's disease","Crohn's disease",GCST003044,21:15445619
rs4246905-<b>G</b>,"7 x 10-23",(EA),0.72,1.1446497,'-,[1.12-1.17],TNFSF15,"Crohn's disease","Crohn's disease",GCST003044,9:114790969
rs7097656-<b>G</b>,"4 x 10-18",(EA),0.8,1.1411755,'-,[1.11-1.17],TSPAN14,"Crohn's disease","Crohn's disease",GCST003044,10:80491075
rs12722489-<b>C</b>,"3 x 10-9",,0.852,1.11,'-,[1.05-1.16],IL2RA,"Crohn's disease","Crohn's disease",GCST000879,10:6060049
rs10761659-<b>G</b>,"4 x 10-22",,0.538,1.23,'-,[1.18-1.29],AC067751.1,"Crohn's disease","Crohn's disease",GCST000879,10:62685804
rs1250550-<b>G</b>,"1 x 10-30",,0.669,1.19,'-,[1.15-1.23],ZMIZ1,"Crohn's disease","Crohn's disease",GCST000879,10:79300560
rs4902642-<b>G</b>,"2 x 10-10",,0.584,1.07,'-,[1.11-1.04],"AL132986.1, ZFP36L1","Crohn's disease","Crohn's disease",GCST000879,14:68743482
rs2058660-<b>G</b>,"2 x 10-12",,0.231,1.19,'-,[1.14-1.26],IL18RAP,"Crohn's disease","Crohn's disease",GCST000879,2:102437989
rs1819658-<b>C</b>,"9 x 10-17",,0.774,1.19,'-,[1.13-1.25],"AC026884.1, IPMK","Crohn's disease","Crohn's disease",GCST000879,10:58153390
rs12720356-<b>G</b>,"1 x 10-12",,0.084,1.12,'-,[1.06-1.19],TYK2,"Crohn's disease","Crohn's disease",GCST000879,19:10359299
rs3024505-<b>T</b>,"2 x 10-14",,0.157,1.12,'-,[1.07-1.17],"IL10, AL591846.1","Crohn's disease","Crohn's disease",GCST000879,1:206766559
rs1456896-<b>T</b>,"1 x 10-8",,0.69,1.14,'-,[1.09-1.20],"AC020743.3, AC020743.2","Crohn's disease","Crohn's disease",GCST000879,7:50264865
rs2838519-<b>G</b>,"2 x 10-14",,0.391,1.18,'-,[1.13-1.23],GATD3A,"Crohn's disease","Crohn's disease",GCST000879,21:44195140
rs10495903-<b>T</b>,"2 x 10-14",,0.129,1.14,'-,[1.09-1.20],THADA,"Crohn's disease","Crohn's disease",GCST000879,2:43579779
rs212388-<b>G</b>,"2 x 10-11",,0.393,1.1,'-,[1.05-1.14],"AL035530.1, AL035530.2, AL356417.3","Crohn's disease","Crohn's disease",GCST000879,6:159069404
rs7423615-<b>T</b>,"3 x 10-13",,0.187,1.12,'-,[1.07-1.18],SP140,"Crohn's disease","Crohn's disease",GCST000879,2:230252159
rs17293632-<b>T</b>,"3 x 10-19",,0.233,1.12,'-,[1.07-1.16],SMAD3,"Crohn's disease","Crohn's disease",GCST000879,15:67150258
rs8005161-<b>T</b>,"4 x 10-18",,0.119,1.23,'-,[1.16-1.31],GPR65,"Crohn's disease","Crohn's disease",GCST000879,14:88006251
rs3180018-<b>A</b>,"2 x 10-13",,0.25,1.13,'-,[1.06-1.19],SCAMP3,"Crohn's disease","Crohn's disease",GCST000879,1:155260340
rs102275-<b>C</b>,"2 x 10-11",,0.341,1.08,'-,[1.04-1.12],TMEM258,"Crohn's disease","Crohn's disease",GCST000879,11:61790331
rs2549794-<b>C</b>,"1 x 10-10",,0.409,1.05,'-,[1.02-1.09],"ERAP2, AC009126.1","Crohn's disease","Crohn's disease",GCST000879,5:96908845
rs13428812-<b>G</b>,"9 x 10-10",,0.326,1.06,'-,[1.03-1.10],DNMT3A,"Crohn's disease","Crohn's disease",GCST000879,2:25269598
rs1998598-<b>G</b>,"9 x 10-9",,0.302,1.04,'-,[1.00-1.09],"AL365258.2, DENND1B","Crohn's disease","Crohn's disease",GCST000879,1:197758512
rs12242110-<b>G</b>,"1 x 10-9",,0.315,1.15,'-,[1.10-1.20],"CCNY, RNU6-794P","Crohn's disease","Crohn's disease",GCST000879,10:35246767
rs359457-<b>T</b>,"3 x 10-12",,0.571,1.08,'-,[1.04-1.12],"CPEB4, LINC01485","Crohn's disease","Crohn's disease",GCST000879,5:173852839
rs4656940-<b>A</b>,"6 x 10-7",,0.801,1.15,'-,[1.09-1.21],CD244,"Crohn's disease","Crohn's disease",GCST000879,1:160860478
rs415890-<b>C</b>,"3 x 10-12",,0.522,1.17,'-,[1.12-1.22],Z94721.1,"Crohn's disease","Crohn's disease",GCST000879,6:166993145
rs4077515-<b>T</b>,"1 x 10-36",,0.411,1.18,'-,[1.13-1.22],CARD9,"Crohn's disease","Crohn's disease",GCST000879,9:136372044
rs10181042-<b>T</b>,"7 x 10-9",,0.42,1.14,'-,[1.09-1.19],PUS10,"Crohn's disease","Crohn's disease",GCST000879,2:60997124
rs7554511-<b>C</b>,"2 x 10-7",,0.726,1.14,'-,[1.08-1.19],INAVA,"Crohn's disease","Crohn's disease",GCST000879,1:200908434
rs3764147-<b>G</b>,"1 x 10-10",,0.245,1.17,'-,[1.12-1.23],LACC1,"Crohn's disease","Crohn's disease",GCST000879,13:43883789
rs151181-<b>G</b>,"2 x 10-11",,0.386,1.07,'-,[1.03-1.12],"CLN3, AC138894.1","Crohn's disease","Crohn's disease",GCST000879,16:28479196
rs11209026-<b>G</b>,"1 x 10-64",,0.932,2.66,'-,[2.36-3.00],IL23R,"Crohn's disease","Crohn's disease",GCST000879,1:67240275
rs181359-<b>T</b>,"5 x 10-16",,0.203,1.1,'-,[1.06-1.15],UBE2L3,"Crohn's disease","Crohn's disease",GCST000879,22:21574352
rs6556412-<b>A</b>,"5 x 10-14",,0.332,1.18,'-,[1.13-1.24],AC008691.1,"Crohn's disease","Crohn's disease",GCST000879,5:159360377
rs2797685-<b>A</b>,"7 x 10-9",,0.19,1.05,'-,[1.01-1.10],"PER3, Z98884.1","Crohn's disease","Crohn's disease",GCST000879,1:7819003
rs7517810-<b>T</b>,"2 x 10-15",,0.246,1.22,'-,[1.16-1.28],AL031599.1,"Crohn's disease","Crohn's disease",GCST000879,1:172884320
rs3810936-<b>C</b>,"1 x 10-15",,0.682,1.21,'-,[1.15-1.27],TNFSF15,"Crohn's disease","Crohn's disease",GCST000879,9:114790605
rs2062305-<b>G</b>,"5 x 10-10",,0.346,1.1,'-,[1.05-1.15],LINC02341,"Crohn's disease","Crohn's disease",GCST000879,13:42478744
rs2872507-<b>A</b>,"2 x 10-9",,0.458,1.14,'-,[1.09-1.19],"GSDMB, ZPBP2","Crohn's disease","Crohn's disease",GCST000879,17:39884510
rs740495-<b>G</b>,"8 x 10-12",,0.247,1.16,'-,[1.10-1.21],SBNO2,"Crohn's disease","Crohn's disease",GCST000879,19:1124836
rs780093-<b>T</b>,"5 x 10-11",,0.418,1.15,'-,[1.10-1.21],GCKR,"Crohn's disease","Crohn's disease",GCST000879,2:27519736
rs12521868-<b>T</b>,"1 x 10-20",,0.422,1.23,'-,[1.18-1.28],"IRF1-AS1, AC116366.3","Crohn's disease","Crohn's disease",GCST000879,5:132448701
rs281379-<b>A</b>,"7 x 10-12",,0.487,1.07,'-,[1.04-1.11],"MAMSTR, FUT2","Crohn's disease","Crohn's disease",GCST000879,19:48711017
rs4809330-<b>G</b>,"3 x 10-15",,0.709,1.12,'-,[1.06-1.18],"AL121845.3, ZGPAT","Crohn's disease","Crohn's disease",GCST000879,20:63718234
rs11564258-<b>A</b>,"6 x 10-21",,0.025,1.74,'-,[1.55-1.95],"MUC19, AC107023.1","Crohn's disease","Crohn's disease",GCST000879,12:40398498
rs713875-<b>C</b>,"7 x 10-12",,0.471,1.08,'-,[1.04-1.13],AC002378.1,"Crohn's disease","Crohn's disease",GCST000879,22:30196498
rs3197999-<b>A</b>,"6 x 10-17",,0.297,1.22,'-,[1.16-1.27],MST1,"Crohn's disease","Crohn's disease",GCST000879,3:49684099
rs11871801-<b>A</b>,"3 x 10-8",,0.756,1.15,'-,[1.10-1.21],CAVIN1,"Crohn's disease","Crohn's disease",GCST000879,17:42418754
rs2413583-<b>C</b>,"1 x 10-26",,0.83,1.23,'-,[1.17-1.29],AL031590.1,"Crohn's disease","Crohn's disease",GCST000879,22:39263768
rs1799964-<b>C</b>,"4 x 10-11",,0.209,1.19,'-,[1.13-1.25],"TNF, LTA","Crohn's disease","Crohn's disease",GCST000879,6:31574531
rs10758669-<b>C</b>,"1 x 10-13",,0.349,1.18,'-,[1.13-1.23],"HNRNPA1P41, JAK2","Crohn's disease","Crohn's disease",GCST000879,9:4981602
rs7714584-<b>G</b>,"8 x 10-19",,0.088,1.37,'-,[1.28-1.47],IRGM,"Crohn's disease","Crohn's disease",GCST000879,5:150890858
rs2476601-<b>G</b>,"4 x 10-9",,0.907,1.26,'-,[1.17-1.37],"PTPN22, AL137856.1","Crohn's disease","Crohn's disease",GCST000879,1:113834946
rs1893217-<b>G</b>,"1 x 10-14",,0.153,1.25,'-,[1.18-1.32],PTPN2,"Crohn's disease","Crohn's disease",GCST000879,18:12809341
rs11742570-<b>C</b>,"7 x 10-36",,0.606,1.33,'-,[1.27-1.39],"AC108105.1, AC093277.1","Crohn's disease","Crohn's disease",GCST000879,5:40410482
rs694739-<b>A</b>,"6 x 10-10",,0.626,1.1,'-,[1.05-1.16],"AP003774.2, CCDC88B","Crohn's disease","Crohn's disease",GCST000879,11:64329761
rs6568421-<b>G</b>,"4 x 10-8",,0.301,1.13,'-,[1.07-1.18],"PRDM1, RN7SKP211","Crohn's disease","Crohn's disease",GCST000879,6:105987150
rs2076756-<b>G</b>,"4 x 10-69",,0.26,1.53,'-,[1.46-1.60],NOD2,"Crohn's disease","Crohn's disease",GCST000879,16:50722970
rs4409764-<b>T</b>,"2 x 10-20",,0.492,1.22,'-,[1.17-1.27],"LINC01475, AL391684.1","Crohn's disease","Crohn's disease",GCST000879,10:99524480
rs6738825-<b>A</b>,"4 x 10-9",,0.473,1.06,'-,[1.02-1.11],PLCL1,"Crohn's disease","Crohn's disease",GCST000879,2:198032171
rs11167764-<b>C</b>,"2 x 10-9",,0.796,1.06,'-,[1.02-1.11],"NDFIP1, AC005740.2","Crohn's disease","Crohn's disease",GCST000879,5:142099500
rs6908425-<b>C</b>,"1 x 10-8",,0.784,1.17,'-,[1.11-1.23],CDKAL1,"Crohn's disease","Crohn's disease",GCST000879,6:20728500
rs3091315-<b>A</b>,"2 x 10-13",,0.723,1.2,'-,[1.14-1.26],"CCL7, CCL2","Crohn's disease","Crohn's disease",GCST000879,17:34266646
rs3792109-<b>A</b>,"7 x 10-41",,0.529,1.34,'-,[1.29-1.40],"ATG16L1, SCARNA5","Crohn's disease","Crohn's disease",GCST000879,2:233275771
rs6651252-<b>T</b>,"4 x 10-18",,0.865,1.23,'-,[1.17-1.30],LINC00824,"Crohn's disease","Crohn's disease",GCST000879,8:128554935
rs4871611-<b>A</b>,"2 x 10-12",,0.609,1.17,'-,[1.12-1.23],AC091114.1,"Crohn's disease","Crohn's disease",GCST000879,8:125525328
rs7927997-<b>T</b>,"6 x 10-13",,0.389,1.17,'-,[1.12-1.22],"EMSY, AP001189.2","Crohn's disease","Crohn's disease",GCST000879,11:76590331
rs1847472-<b>G</b>,"5 x 10-9",,0.658,1.07,'-,[1.03-1.11],BACH2,"Crohn's disease","Crohn's disease",GCST000879,6:90263440
rs13073817-<b>A</b>,"7 x 10-9",,0.322,1.08,'-,[1.03-1.13],SATB1-AS1,"Crohn's disease","Crohn's disease",GCST000879,3:18665366
rs7702331-<b>A</b>,"6 x 10-12",,0.6,1.12,'-,[1.07-1.17],AC116345.1,"Crohn's disease","Crohn's disease",GCST000879,5:73255307
rs17309827-<b>T</b>,"7 x 10-9",,0.639,1.1,'-,[1.05-1.16],SLC22A23,"Crohn's disease","Crohn's disease",GCST000879,6:3433084
rs736289-<b>T</b>,"9 x 10-9",,0.612,1.06,'-,[1.02-1.11],"AC008738.6, SLC7A10","Crohn's disease","Crohn's disease",GCST000879,19:33266156
rs1736020-<b>C</b>,"9 x 10-12",,0.579,1.16,'-,[1.11-1.21],AJ009632.2,"Crohn's disease","Crohn's disease",GCST000879,21:15440233
rs11306716-<b>?</b>,"3 x 10-12","(subset analysis)",NR,'-,'-,'-,"CTLA4, RNU6-474P","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:203843041
rs11676348-<b>?</b>,"2 x 10-11","(subset analysis)",NR,'-,'-,'-,"CXCR1, CXCR2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:218145423
rs7556897-<b>?</b>,"8 x 10-12","(subset analysis)",NR,'-,'-,'-,"SNRPGP8, AC073065.1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:227795396
rs12694846-<b>?</b>,"5 x 10-15","(subset analysis)",NR,'-,'-,'-,SP140,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:230283413
rs35300242-<b>?</b>,"5 x 10-67","(subset analysis)",NR,'-,'-,'-,ATG16L1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:233260144
rs3749171-<b>?</b>,"2 x 10-25","(subset analysis)",NR,'-,'-,'-,GPR35,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:240630275
rs4676406-<b>?</b>,"6 x 10-10","(subset analysis)",NR,'-,'-,'-,"AC011298.3, GPR35","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:240639691
rs35320439-<b>?</b>,"7 x 10-10","(subset analysis)",NR,'-,'-,'-,GAL3ST2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,2:241797926
rs73178598-<b>?</b>,"3 x 10-13","(subset analysis)",NR,'-,'-,'-,SATB1-AS1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,3:18763719
rs10510607-<b>?</b>,"4 x 10-7","(subset analysis)",NR,'-,'-,'-,CMC1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,3:28244770
rs1001007-<b>?</b>,"2 x 10-8","(subset analysis)",NR,'-,'-,'-,CCR5AS,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,3:46387167
rs3197999-<b>?</b>,"7 x 10-55","(subset analysis)",NR,'-,'-,'-,MST1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,3:49684099
rs116046827-<b>?</b>,"8 x 10-11","(subset analysis)",NR,'-,'-,'-,BSN,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,3:49618715
rs6781808-<b>?</b>,"8 x 10-9","(subset analysis)",NR,'-,'-,'-,"AC117440.1, NPM1P17","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,3:137722530
rs11098964-<b>?</b>,"2 x 10-8","(subset analysis)",NR,'-,'-,'-,ANTXR2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,4:79966815
rs13107612-<b>?</b>,"3 x 10-10","(subset analysis)",NR,'-,'-,'-,BANK1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,4:101818823
rs3774937-<b>?</b>,"2 x 10-18","(subset analysis)",NR,'-,'-,'-,NFKB1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,4:102513096
rs59867199-<b>?</b>,"7 x 10-20","(subset analysis)",NR,'-,'-,'-,"IL21, IL2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,4:122531076
rs13132308-<b>?</b>,"5 x 10-8","(subset analysis)",NR,'-,'-,'-,IL21-AS1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,4:122629959
rs11750385-<b>?</b>,"4 x 10-8","(subset analysis)",NR,'-,'-,'-,LINC02213,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,5:10521556
rs3776414-<b>?</b>,"6 x 10-9","(subset analysis)",NR,'-,'-,'-,DAP,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,5:10689450
rs395157-<b>?</b>,"8 x 10-15","(subset analysis)",NR,'-,'-,'-,OSMR,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,5:38867630
rs1992661-<b>?</b>,"1 x 10-74","(subset analysis)",NR,'-,'-,'-,"AC093277.1, AC108105.1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,5:40414887
rs6651252-<b>?</b>,"2 x 10-17","(subset analysis)",NR,'-,'-,'-,LINC00824,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,8:128554935
rs10758669-<b>?</b>,"5 x 10-43","(subset analysis)",NR,'-,'-,'-,"HNRNPA1P41, JAK2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,9:4981602
rs2812378-<b>?</b>,"6 x 10-9","(subset analysis)",NR,'-,'-,'-,AL162231.5,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,9:34710263
rs7848647-<b>?</b>,"1 x 10-25","(subset analysis)",NR,'-,'-,'-,"TNFSF15, AL133412.1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,9:114806766
rs726657-<b>?</b>,"1 x 10-14","(subset analysis)",NR,'-,'-,'-,DELEC1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,9:114934056
rs7468800-<b>?</b>,"2 x 10-9","(subset analysis)",NR,'-,'-,'-,"TNFSF15, AL133412.1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,9:114829725
rs4986790-<b>?</b>,"1 x 10-8","(subset analysis)",NR,'-,'-,'-,"TLR4, AL160272.2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,9:117713024
rs10870077-<b>?</b>,"6 x 10-45","(subset analysis)",NR,'-,'-,'-,CARD9,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,9:136369439
rs141992399-<b>?</b>,"1 x 10-31","(subset analysis)",NR,'-,'-,'-,CARD9,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,9:136365140
rs3124998-<b>?</b>,"9 x 10-9","(subset analysis)",NR,'-,'-,'-,NOTCH1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,9:136494980
rs61839660-<b>?</b>,"1 x 10-15","(subset analysis)",NR,'-,'-,'-,IL2RA,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,10:6052734
rs3118471-<b>?</b>,"4 x 10-13","(subset analysis)",NR,'-,'-,'-,IL2RA,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,10:6060794
rs76913543-<b>?</b>,"4 x 10-12","(subset analysis)",NR,'-,'-,'-,"IL2RA, IL15RA","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,10:6000052
rs2104286-<b>?</b>,"4 x 10-8","(subset analysis)",NR,'-,'-,'-,IL2RA,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,10:6057082
rs2236379-<b>?</b>,"9 x 10-9","(subset analysis)",NR,'-,'-,'-,PRKCQ,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,10:6485181
rs2050392-<b>?</b>,"2 x 10-9","(subset analysis)",NR,'-,'-,'-,"AL161651.1, CCND3P1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,10:30402574
rs34779708-<b>?</b>,"5 x 10-29","(subset analysis)",NR,'-,'-,'-,CREM,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,10:35177257
